Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
0610009B22RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
0610010F05RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
0610040J01RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110004F10RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110008P14RIK	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
1110054M08RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000001000	FALSE
1110057K04RIK	1	M19	M19_1_Weak_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
1500015A07RIK	1	G21_TCPOBOP	G21_TCPOBOP_Down_AC_0_FC_1	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T27	F_D_T27	0000010000	FALSE
1500017E21RIK	1	L17	L17_M27_D_F3_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	B_D_B	NA	FALSE
1600002H07RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_2:L17_M27_D_F3_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_Both	F_D_T27,B_D_B	0000011000	FALSE
1600014C10RIK	2	G22:M19_SSI	G22_110000000:M19_SSI	2	Conflict	M,I	NA	0	NotInduced	NA	NA	FALSE
1600014K23RIK	1	M19	M19_0_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1700019G17RIK	1	M19	M19_1_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1700020I14RIK	1	L17	L17_M27_U	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
1700024P16RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_5:L17_M3_U_M27_U_F3_U	0	NotSexBiased	NA	NA	2	Induced_Male_Up_Both	B_U_T27,B_U_B	2222222222	FALSE
1700040L02RIK	1	M19	M19_0_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
1700055N04RIK	2	G21_SB:M19	G21_SB_Female_AC_5:M19_NA_Robust_F	2	SexBiased_Female	F	22222	0	NotInduced	NA	NA	FALSE
1700113H08RIK	1	M19	M19_1_WeakMismatch_M	1	Conflict	C	NA	0	NotInduced	NA	NA	FALSE
1810008I18RIK	1	L17	L17_F3_D	0	NotSexBiased	NA	NA	1	Induced_Female_Down_T3	F_D_T3	NA	FALSE
1810011H11RIK	1	G21_SB	G21_SB_Female_AC_1	1	SexBiased_Female	F	00020	0	NotInduced	NA	NA	FALSE
1810011O10RIK	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D:M19_1_Weak_F	1	SexBiased_Female	F	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000000001	FALSE
1810019D21RIK	1	L17	L17_M27_D	0	NotSexBiased	NA	NA	1	Induced_Male_Down_T27	M_D_T27	NA	FALSE
1810032O08RIK	1	L17	L17_M27_U_F3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_B	NA	FALSE
1810046K07RIK	1	M19	M19_1_Weak_F	1	SexBiased_Female	F	NA	0	NotInduced	NA	NA	FALSE
1810053B23RIK	1	L17	L17_M3_U_M27_U_F3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T27	B_U_B	NA	FALSE
1810055G02RIK	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Up_AC_3_FC_5:L17_F3_U:M19_1_Weak_M	1	SexBiased_Male	M	NA	2	Induced_Both_Up_Both	B_U_T27,F_U_T3	2220022222	FALSE
1810058I24RIK	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_1:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000001000	FALSE
1810064F22RIK	1	G22	G22_110000000	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
2010003K11RIK	2	G21_TCPOBOP:M19	G21_TCPOBOP_Up_AC_0_FC_2:M19_0_Weak_M	1	SexBiased_Male	M	NA	1	Induced_Female_Up_T27	F_U_T27	0000022000	FALSE
2010106E10RIK	1	M19	M19_0_Robust_M	1	SexBiased_Male	M	NA	0	NotInduced	NA	NA	FALSE
