# RNA-ID	RBS-start	RBS-end	DNA-ID	DBS-start	DBS-end	Score	Error-rate	Errors                   	Motif	Strand	Orientation	Guanine-rate
lnc_inter_chr10_8711	4661	4681	chr1:58112172-58112192	0	20	16	0.2	d3d5d9d15	R	-	A	0.3
lnc_inter_chr10_8711	11674	11695	chr1:58112172-58112193	0	21	17	0.19	d3d5b9d15	Y	-	P	0.29
lnc_inter_chr10_8711	11728	11749	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	Y	-	P	0.29
lnc_inter_chr10_8711	4659	4680	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	R	-	A	0.29
lnc_inter_chr10_8711	4657	4678	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	R	-	A	0.29
lnc_inter_chr10_8711	18410	18431	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	M	-	P	0.29
lnc_inter_chr10_8711	18412	18433	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	M	-	P	0.29
lnc_inter_chr10_8711	18418	18439	chr1:58112172-58112193	0	21	17	0.19	d3d5d9d15	M	-	A	0.29
lnc_inter_chr10_8711	11686	11711	chr1:58112172-58112197	0	25	20	0.2	d3b5d9b15d21	Y	-	P	0.28
lnc_inter_chr10_8711	11696	11721	chr1:58112172-58112197	0	25	20	0.2	d3b5d9b15d21	Y	-	P	0.28
lnc_inter_chr10_8711	11706	11731	chr1:58112172-58112197	0	25	20	0.2	d3b5d9b15d21	Y	-	P	0.28
lnc_inter_chr10_8711	11716	11741	chr1:58112172-58112197	0	25	20	0.2	d3d5d9b15d21	Y	-	P	0.28
lnc_inter_chr10_8711	11726	11751	chr1:58112172-58112197	0	25	20	0.2	d3d5d9d15d21	Y	-	P	0.28
lnc_inter_chr10_8711	18410	18435	chr1:58112172-58112197	0	25	20	0.2	d3d5d9d15d21	M	-	P	0.28
lnc_inter_chr10_8711	18420	18445	chr1:58112172-58112197	0	25	20	0.2	d3d5d9d15b21	M	-	A	0.28
lnc_inter_chr10_8711	18416	18441	chr1:58112172-58112197	0	25	20	0.2	d3d5d9d15d21	M	-	A	0.28
lnc_inter_chr10_8711	4655	4681	chr1:58112172-58112198	0	26	21	0.19	d3d5d9d15d21	R	-	A	0.31
lnc_inter_chr10_8711	11674	11701	chr1:58112172-58112199	0	27	22	0.19	d3b5d9b15d21	Y	-	P	0.3
lnc_inter_chr10_8711	11728	11755	chr1:58112172-58112199	0	27	22	0.19	d3d5d9d15d21	Y	-	P	0.3
lnc_inter_chr10_8711	18410	18437	chr1:58112172-58112199	0	27	22	0.19	d3d5d9d15d21	M	-	P	0.3
lnc_inter_chr10_8711	18412	18439	chr1:58112172-58112199	0	27	22	0.19	d3d5d9d15d21	M	-	P	0.3
lnc_inter_chr10_8711	11717	11747	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15b21d27	Y	-	P	0.3
lnc_inter_chr10_8711	11723	11753	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21b27	Y	-	P	0.3
lnc_inter_chr10_8711	11727	11757	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	Y	-	P	0.3
lnc_inter_chr10_8711	11729	11759	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	Y	-	P	0.3
lnc_inter_chr10_8711	11731	11761	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	Y	-	P	0.3
lnc_inter_chr10_8711	11733	11763	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	Y	-	P	0.3
lnc_inter_chr10_8711	18411	18441	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	M	-	P	0.3
lnc_inter_chr10_8711	18415	18445	chr1:58112172-58112202	0	30	24	0.2	b3d5d9d15d21d27	M	-	P	0.3
lnc_inter_chr10_8711	18414	18444	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21b27	M	-	A	0.3
lnc_inter_chr10_8711	18410	18440	chr1:58112172-58112202	0	30	24	0.2	d3d5d9d15d21d27	M	-	A	0.3
lnc_inter_chr10_8711	11716	11746	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14b20d26	Y	-	P	0.3
lnc_inter_chr10_8711	11722	11752	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20b26	Y	-	P	0.3
lnc_inter_chr10_8711	11726	11756	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	Y	-	P	0.3
lnc_inter_chr10_8711	11728	11758	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	Y	-	P	0.3
lnc_inter_chr10_8711	11730	11760	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	Y	-	P	0.3
lnc_inter_chr10_8711	11732	11762	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	Y	-	P	0.3
lnc_inter_chr10_8711	11734	11764	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	Y	-	P	0.3
lnc_inter_chr10_8711	18410	18440	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	M	-	P	0.3
lnc_inter_chr10_8711	18414	18444	chr1:58112173-58112203	0	30	24	0.2	b2d4d8d14d20d26	M	-	P	0.3
lnc_inter_chr10_8711	18415	18445	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20b26	M	-	A	0.3
lnc_inter_chr10_8711	18411	18441	chr1:58112173-58112203	0	30	24	0.2	d2d4d8d14d20d26	M	-	A	0.3
