Gene	SB_Bias	SB_FPKM	SB_FC	SB_Compartment
ncRNA_as_chr19_14740	Female	2.49	-19.48	CYTO
ncRNA_intra_chr14_11903	Male	1.10	11.50	CB
ncRNA_inter_chr10_9183	Female	13.26	-8.95	CBNPAS
ncRNA_inter_chr15_12684	Female	41.86	-8.50	CYTO
ncRNA_inter_chr10_8999	Male	31.71	2.91	CB
ncRNA_as_chr1_733	Male	26.49	2.01	NUC
ncRNA_inter_chr4_3468	Male	22.30	22.17	CBNPAS
ncRNA_as_chr17_13630	Female	0.17	-6.18	CB
ncRNA_inter_chr10_8697	Female	10.82	-101.46	CBNPAS
ncRNA_inter_chr19_14746	Male	9334.07	3.24	CBNPAS
ncRNA_inter_chr17_13909	Male	14778.08	7.62	CB
ncRNA_inter_chr11_9726	Female	3.32	-222.30	CB
ncRNA_inter_chrX_15394	Female	1604.44	-1134.20	CBNPAS
1700055N04RIK	Female	1.36	-29.27	CB
1810011H11RIK	Female	4.46	-3.13	CB
9530082P21RIK	Female	0.97	-5.21	CB
A1BG	Female	1610.76	-380.46	CYTO
A2M	Female	1.14	-10.34	CYTO
ABCD2	Female	3.36	-5.29	CYTO
ABHD2	Female	12.40	-2.47	NUC
ACACB	Female	11.63	-2.69	NP
ACNAT2	Female	78.81	-4.72	CYTO
ACOT2	Female	0.30	-7.74	CBNPAS
ACOT3	Female	18.72	-15.33	CYTO
ACOT4	Female	11.28	-2.30	NUC
ACSS3	Female	5.67	-2.76	CBNPAS
ADCY1	Female	1.42	-14.72	NUC
AGTRAP	Female	4.58	-2.61	NP
ARHGEF9	Female	0.53	-2.64	CBNPAS
ARRDC4	Female	1.92	-4.37	CBNPAS
ASB2	Female	2.89	-2.52	NUC
ATP6V0D2	Female	3.99	-11.35	CYTO
BC021614	Female	298.53	-10.78	NUC
BC089597	Female	337.15	-5.58	NP
BMPER	Female	0.75	-4.92	CBNPAS
CAMKK2	Female	10.89	-2.09	CB
CAP2	Female	0.17	-82.91	CBNPAS
CC2D2A	Female	1.86	-2.06	CBNPAS
CCND1	Female	6.73	-2.04	NUC
CDCP1	Female	1.40	-2.46	CBNPAS
CDX4	Female	1.10	-53.02	CYTO
CENPE	Female	0.24	-3.82	CB
CENPM	Female	9.77	-3.28	CB
CHIC1	Female	0.62	-2.56	CBNPAS
CHRNA4	Female	1.31	-3.73	CBNPAS
CUX2	Female	12.66	-53.33	CBNPAS
CYP17A1	Female	5.36	-5.00	NP
CYP26B1	Female	11.50	-7.71	NUC
CYP2A22	Female	5.20	-9.34	NP
CYP2A4	Female	75.08	-38.82	NP
CYP2B13	Female	85.01	-168.33	NP
CYP2B9	Female	214.53	-66.89	CB
CYP2C37	Female	110.95	-10.44	CYTO
CYP2C38	Female	7.81	-2.41	CBNPAS
CYP2C39	Female	147.35	-6.55	CYTO
CYP2C40	Female	209.20	-15.54	NP
CYP2C50	Female	89.10	-3.20	NUC
CYP2C54	Female	176.05	-3.54	CYTO
CYP2C68	Female	109.89	-2.43	NP
CYP2C69	Female	186.55	-56.26	CYTO
CYP3A16	Female	61.91	-268.24	CYTO
CYP3A41A	Female	46.47	-391.63	CYTO
CYP3A41B	Female	46.68	-731.44	CYTO
CYP3A44	Female	123.96	-250.04	CYTO
CYTH4	Female	1.89	-2.23	CBNPAS
DAPK1	Female	22.01	-2.19	CBNPAS
DCT	Female	17.99	-3.73	CYTO
DLGAP1	Female	0.99	-3.84	CB
DNTT	Female	1.03	-7.98	CB
ECI3	Female	5.17	-29.42	NP
ELMO1	Female	1.38	-2.29	CBNPAS
ESR1	Female	5.18	-2.21	CBNPAS
FAM198A	Female	4.14	-2.89	CBNPAS
FAM69C	Female	0.45	-119.27	CYTO
FAM84B	Female	3.52	-4.14	CYTO
FBN2	Female	0.05	-8.44	CBNPAS
FBXO44	Female	2.46	-24.11	CB
FMO1	Female	105.19	-3.30	CYTO
FMO2	Female	3.39	-5.31	CBNPAS
FMO3	Female	132.77	-710.79	CYTO
FUT8	Female	2.11	-3.34	CYTO
FYB	Female	6.98	-2.13	CB
G6PC	Female	80.76	-4.19	CBNPAS
GBP11	Female	15.26	-2.52	CBNPAS
GJB4	Female	1.98	-308.66	CB
GM13139	Female	1.89	-79.97	CB
GM13152	Female	1.97	-65.12	CB
GM1600	Female	0.86	-3.66	CBNPAS
GM4477	Female	12.09	-9.89	CYTO
GM4794	Female	15.80	-95.66	CYTO
GNGT2	Female	15.64	-2.78	CB
GOT1	Female	31.73	-3.27	CB
GREB1L	Female	1.10	-4.12	CBNPAS
GRID1	Female	0.21	-15.77	CBNPAS
GSTT3	Female	31.46	-2.54	NUC
H2-BL	Female	2.84	-4.28	NUC
H2-Q6	Female	11.11	-4.14	NUC
H2-Q8	Female	8.28	-4.14	NUC
H2-T22	Female	65.79	-7.65	CYTO
H2-T23	Female	53.61	-6.85	NUC
H2-T9	Female	80.52	-7.65	CYTO
HAO2	Female	26.64	-19.43	CYTO
HSD3B1	Female	1.61	-39.69	NP
HTRA4	Female	0.16	-5.13	NUC
HYPM	Female	0.39	-9.39	CBNPAS
IGFBP1	Female	63.39	-6.20	NP
IL1B	Female	7.93	-3.35	CB
IL7	Female	0.18	-18.43	CYTO
IRS2	Female	15.73	-2.78	CBNPAS
ITGA6	Female	2.89	-3.01	NUC
ITIH5	Female	1.38	-3.07	NUC
KIF19A	Female	0.08	-7.30	CBNPAS
KLHL33	Female	2.21	-2.28	CBNPAS
LAD1	Female	4.69	-2.42	NUC
LECT2	Female	46.74	-2.45	NP
LPPR1	Female	0.64	-46.05	NP
LRFN4	Female	0.14	-11.42	CBNPAS
LRP2BP	Female	1.08	-3.72	CB
LRTM1	Female	13.83	-3.96	CB
MARCO	Female	9.32	-5.10	NP
MEIOB	Female	11.09	-3.04	CB
MKI67	Female	1.46	-3.43	CBNPAS
MKX	Female	0.60	-2.78	CBNPAS
MLLT3	Female	6.05	-4.07	CB
MSMP	Female	3.40	-18.70	NUC
MVD	Female	17.70	-3.90	CB
NCKAP5	Female	2.94	-4.04	CBNPAS
NCMAP	Female	8.11	-6.01	CB
ncRNA_as_chr1_757	Female	0.83	-75.21	CBNPAS
ncRNA_as_chr1_782	Female	4.43	-5.50	CBNPAS
ncRNA_as_chr11_9447	Female	0.15	-34.07	CBNPAS
ncRNA_as_chr11_9897	Female	0.30	-7.90	CYTO
ncRNA_as_chr12_10884	Female	0.52	-6.01	CYTO
ncRNA_as_chr15_12957	Female	0.83	-15.12	CB
ncRNA_as_chr16_13500	Female	0.26	-5.60	CBNPAS
ncRNA_as_chr17_13731	Female	1.47	-3.46	CBNPAS
ncRNA_as_chr19_14883	Female	54.81	-280.47	CB
ncRNA_as_chr19_15010	Female	0.37	-170.40	CB
ncRNA_as_chr2_1457	Female	8.29	-4.30	CBNPAS
ncRNA_as_chr2_1899	Female	25.15	-2.64	CBNPAS
ncRNA_as_chr4_3225	Female	0.26	-7.29	CYTO
ncRNA_as_chr4_3281	Female	0.23	-11.64	CBNPAS
ncRNA_as_chr4_3820	Female	0.78	-110.30	CB
ncRNA_as_chr4_3843	Female	0.74	-3.52	CB
ncRNA_as_chr5_4731	Female	8.60	-170.34	CB
ncRNA_as_chr5_4733	Female	2.73	-26.63	CB
ncRNA_as_chr5_4744	Female	4.13	-222.31	CBNPAS
ncRNA_as_chr5_4745	Female	17.26	-340.39	CBNPAS
ncRNA_as_chr6_5340	Female	2.01	-5.33	CBNPAS
ncRNA_as_chr7_5999	Female	2.00	-104.15	CB
ncRNA_as_chr7_6007	Female	5.75	-59.36	CB
ncRNA_as_chr7_6192	Female	15.19	-3.80	NP
ncRNA_as_chr7_6439	Female	107.24	-1.90	CBNPAS
ncRNA_as_chr8_7523	Female	0.31	-14.07	CYTO
ncRNA_as_chr9_7843	Female	0.26	-6.10	CB
ncRNA_inter_chr1_290	Female	3.32	-6.85	CB
ncRNA_inter_chr1_292	Female	88.55	-2.71	CB
ncRNA_inter_chr1_397	Female	1.58	-3.83	CBNPAS
ncRNA_inter_chr1_399	Female	0.47	-3.59	CBNPAS
ncRNA_inter_chr1_450	Female	0.56	-11.21	CB
ncRNA_inter_chr1_47	Female	1.17	-13.48	CB
ncRNA_inter_chr1_48	Female	0.62	-7.05	CB
ncRNA_inter_chr1_51	Female	13.59	-11.61	CB
ncRNA_inter_chr1_52	Female	0.70	-10.64	CBNPAS
ncRNA_inter_chr1_53	Female	2.05	-4.97	CB
ncRNA_inter_chr1_54	Female	1.04	-9.85	CBNPAS
ncRNA_inter_chr1_55	Female	4.07	-8.27	CB
ncRNA_inter_chr1_56	Female	1.12	-10.01	CB
ncRNA_inter_chr1_58	Female	0.63	-8.78	CB
ncRNA_inter_chr1_61	Female	2.20	-9.29	CBNPAS
ncRNA_inter_chr1_62	Female	2.26	-9.01	CB
ncRNA_inter_chr1_66	Female	1.17	-9.06	CB
ncRNA_inter_chr1_68	Female	0.26	-8.53	CBNPAS
ncRNA_inter_chr1_71	Female	0.22	-5.24	CBNPAS
ncRNA_inter_chr1_72	Female	0.52	-5.39	CBNPAS
ncRNA_inter_chr1_73	Female	4.74	-7.19	CB
ncRNA_inter_chr1_74	Female	1.51	-5.94	CBNPAS
ncRNA_inter_chr1_755	Female	3.86	-94.52	CB
ncRNA_inter_chr1_848	Female	10.02	-2.82	CBNPAS
