gname	RBD	RBD_chr	RBD_start	RBD_end	RBD_span	RBD_lncRNA_Count	RBD_RBR_Count	RBD_DBR_RBR_Count	RBD_TFO_Total	RBD_TFO_Avg	RBD_TFO_Max	RBD_abj1_Total	RBD_abj1_Avg	RBD_abj1_Max	RBD_abj2_Total	RBD_abj2_Avg	RBD_score	RBD_error_rate	RBD_gc_error	RBD_lncRNA_list	RBD_RBR_list	RBD_BR_list
0610010F05Rik	1	chr11	23634239	23634337	98	3	3	49	24870	8290	12101	150.52539329941288	50.17513109980429	97.46565204625456	26331.51929121215	26331.51929121215	23.39381915042438	0.1475673885122538	0.3834632277274196	lnc_inter_chr10_8711,lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_8711_0610010F05Rik_RBR2,lnc_inter_chr10_9000_0610010F05Rik_RBR1,lnc_inter_chr10_9224_0610010F05Rik_RBR2	lnc_inter_chr10_8711_DBR2_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR3_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR5_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR6_0610010F05Rik_RBR2,lnc_inter_chr10_9000_DBR1_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR2_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR4_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR7_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR8_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR9_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR10_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR11_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR12_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR14_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR15_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR16_0610010F05Rik_RBR1,lnc_inter_chr10_9000_DBR17_0610010F05Rik_RBR1,lnc_inter_chr10_9224_DBR1_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR2_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR3_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR4_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR5_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR6_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR8_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR9_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR10_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR11_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR13_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR14_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR16_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR17_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR18_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR20_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR22_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR25_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR27_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR28_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR29_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR31_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR32_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR33_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR34_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR35_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR36_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR37_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR38_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR41_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR42_0610010F05Rik_RBR2,lnc_inter_chr10_9224_DBR43_0610010F05Rik_RBR2
0610010F05Rik	2	chr11	23634407	23634430	23	2	2	15	21	10.5	16	15.4	7.7	13.3	11	11	16.807692307692307	0.19038461538461537	0.13639423076923077	lnc_inter_chr10_8711,lnc_inter_chr10_9224	lnc_inter_chr10_8711_0610010F05Rik_RBR3,lnc_inter_chr10_9224_0610010F05Rik_RBR3	lnc_inter_chr10_8711_DBR1_0610010F05Rik_RBR3,lnc_inter_chr10_8711_DBR4_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR7_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR12_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR15_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR19_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR21_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR23_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR24_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR25_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR26_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR30_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR39_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR40_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR44_0610010F05Rik_RBR3
0610010F05Rik	3	chr11	23634445	23634478	33	2	2	9	71	35.5	66	10.427397260273974	5.213698630136987	7.227397260273973	49.79315068493151	49.79315068493151	16.01851851851852	0.2	1.8518518518518515e-4	lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_9000_0610010F05Rik_RBR3,lnc_inter_chr10_9224_0610010F05Rik_RBR4	lnc_inter_chr10_9000_DBR3_0610010F05Rik_RBR3,lnc_inter_chr10_9000_DBR5_0610010F05Rik_RBR3,lnc_inter_chr10_9000_DBR13_0610010F05Rik_RBR3,lnc_inter_chr10_9224_DBR7_0610010F05Rik_RBR4,lnc_inter_chr10_9224_DBR12_0610010F05Rik_RBR4,lnc_inter_chr10_9224_DBR15_0610010F05Rik_RBR4,lnc_inter_chr10_9224_DBR39_0610010F05Rik_RBR4,lnc_inter_chr10_9224_DBR40_0610010F05Rik_RBR4,lnc_inter_chr10_9224_DBR44_0610010F05Rik_RBR4
1110004F10Rik	5	chr7	116092758	116092783	25	3	3	22	136	45.333333333333336	116	23.51409801972718	7.8380326732423935	17.172479828294076	52.20396834721116	52.20396834721116	16.42441389933166	0.19514808505639097	0.04942269736842105	lnc_inter_chr10_9000,lnc_inter_chr10_8711,lnc_inter_chr10_9224	lnc_inter_chr10_9000_1110004F10Rik_RBR2,lnc_inter_chr10_8711_1110004F10Rik_RBR1,lnc_inter_chr10_9224_1110004F10Rik_RBR3	lnc_inter_chr10_9000_DBR1_1110004F10Rik_RBR2,lnc_inter_chr10_9000_DBR3_1110004F10Rik_RBR2,lnc_inter_chr10_9000_DBR4_1110004F10Rik_RBR2,lnc_inter_chr10_9000_DBR5_1110004F10Rik_RBR2,lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR1,lnc_inter_chr10_8711_DBR2_1110004F10Rik_RBR1,lnc_inter_chr10_9224_DBR2_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR7_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR10_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR11_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR12_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR14_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR15_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR18_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR21_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR22_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR25_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR29_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR35_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR37_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR38_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR41_1110004F10Rik_RBR3
1110004F10Rik	6	chr7	116092822	116092866	44	2	2	32	252	126	199	38.81998235749521	19.409991178747607	32.542304079693906	190.47292390791972	190.47292390791972	17.17971395239085	0.19093951882485555	0.2752298016315493	lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_9000_1110004F10Rik_RBR3,lnc_inter_chr10_9224_1110004F10Rik_RBR4	lnc_inter_chr10_9000_DBR2_1110004F10Rik_RBR3,lnc_inter_chr10_9000_DBR3_1110004F10Rik_RBR3,lnc_inter_chr10_9000_DBR6_1110004F10Rik_RBR3,lnc_inter_chr10_9000_DBR7_1110004F10Rik_RBR3,lnc_inter_chr10_9000_DBR8_1110004F10Rik_RBR3,lnc_inter_chr10_9224_DBR1_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR3_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR4_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR5_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR6_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR7_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR8_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR9_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR13_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR17_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR19_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR20_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR22_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR23_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR24_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR26_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR27_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR28_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR29_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR30_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR31_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR32_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR34_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR35_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR36_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR39_1110004F10Rik_RBR4,lnc_inter_chr10_9224_DBR40_1110004F10Rik_RBR4
1600014C10Rik	7	chr7	38182921	38182949	28	3	3	14	46	15.333333333333334	24	14.899361423795767	4.966453807931922	9.31718931475029	16.631664448068804	16.631664448068804	16.774074074074075	0.19225925925925927	0.15224074074074076	lnc_inter_chr10_8711,lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_8711_1600014C10Rik_RBR1,lnc_inter_chr10_9000_1600014C10Rik_RBR2,lnc_inter_chr10_9224_1600014C10Rik_RBR2	lnc_inter_chr10_8711_DBR1_1600014C10Rik_RBR1,lnc_inter_chr10_8711_DBR2_1600014C10Rik_RBR1,lnc_inter_chr10_9000_DBR1_1600014C10Rik_RBR2,lnc_inter_chr10_9000_DBR2_1600014C10Rik_RBR2,lnc_inter_chr10_9000_DBR3_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR3_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR4_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR5_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR6_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR7_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR8_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR9_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR10_1600014C10Rik_RBR2,lnc_inter_chr10_9224_DBR11_1600014C10Rik_RBR2
2310030G06Rik	8	chr9	50747428	50747481	53	3	3	43	242	80.66666666666667	183	55.553148431983615	18.517716143994537	40.84220124044483	131.72664044642244	131.72664044642244	16.887097624597622	0.19103663003663005	0.2522648271867022	lnc_inter_chr10_8711,lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_8711_2310030G06Rik_RBR1,lnc_inter_chr10_9000_2310030G06Rik_RBR1,lnc_inter_chr10_9224_2310030G06Rik_RBR2	lnc_inter_chr10_8711_DBR1_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR2_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR3_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR4_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR5_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR1_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR2_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR3_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR4_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR5_2310030G06Rik_RBR1,lnc_inter_chr10_9000_DBR6_2310030G06Rik_RBR1,lnc_inter_chr10_9224_DBR1_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR2_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR3_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR4_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR5_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR6_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR7_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR8_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR9_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR10_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR11_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR12_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR13_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR14_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR15_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR16_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR17_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR19_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR20_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR21_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR22_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR23_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR24_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR25_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR26_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR27_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR28_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR29_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR30_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR31_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR32_2310030G06Rik_RBR2,lnc_inter_chr10_9224_DBR33_2310030G06Rik_RBR2
2510039O18Rik	10	chr4	147939972	147939998	26	3	3	13	112	37.333333333333336	89	14.701415616107088	4.900471872035696	9.428219739818427	46.98877491104803	46.98877491104803	16.137739576654816	0.19778927090011852	0.026705126430417128	lnc_inter_chr10_9000,lnc_inter_chr10_9222,lnc_inter_chr10_9224	lnc_inter_chr10_9000_2510039O18Rik_RBR1,lnc_inter_chr10_9222_2510039O18Rik_RBR1,lnc_inter_chr10_9224_2510039O18Rik_RBR1	lnc_inter_chr10_9000_DBR1_2510039O18Rik_RBR1,lnc_inter_chr10_9000_DBR3_2510039O18Rik_RBR1,lnc_inter_chr10_9000_DBR5_2510039O18Rik_RBR1,lnc_inter_chr10_9222_DBR2_2510039O18Rik_RBR1,lnc_inter_chr10_9222_DBR5_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR8_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR18_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR24_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR26_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR29_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR33_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR48_2510039O18Rik_RBR1,lnc_inter_chr10_9224_DBR52_2510039O18Rik_RBR1
2510039O18Rik	12	chr4	147940469	147940561	92	3	3	43	432	144	364	62.781308285470104	20.927102761823367	51.18683665792295	363.28721225001595	363.28721225001595	18.10588876719829	0.18856780987807772	0.44541882572165314	lnc_inter_chr10_9222,lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_9222_2510039O18Rik_RBR2,lnc_inter_chr10_9000_2510039O18Rik_RBR2,lnc_inter_chr10_9224_2510039O18Rik_RBR3	lnc_inter_chr10_9222_DBR1_2510039O18Rik_RBR2,lnc_inter_chr10_9222_DBR4_2510039O18Rik_RBR2,lnc_inter_chr10_9000_DBR2_2510039O18Rik_RBR2,lnc_inter_chr10_9000_DBR4_2510039O18Rik_RBR2,lnc_inter_chr10_9000_DBR5_2510039O18Rik_RBR2,lnc_inter_chr10_9000_DBR7_2510039O18Rik_RBR2,lnc_inter_chr10_9000_DBR8_2510039O18Rik_RBR2,lnc_inter_chr10_9224_DBR3_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR4_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR5_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR6_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR7_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR9_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR10_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR11_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR12_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR14_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR15_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR21_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR22_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR23_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR25_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR27_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR28_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR30_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR31_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR32_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR34_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR35_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR36_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR37_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR38_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR39_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR40_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR42_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR43_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR44_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR45_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR46_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR47_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR49_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR50_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR51_2510039O18Rik_RBR3
2510039O18Rik	13	chr4	147940678	147940716	38	3	3	21	92	30.666666666666668	55	24.20391510198996	8.06797170066332	17.111290322580643	49.59481899659478	49.59481899659478	17.031415343915345	0.1923075396825397	0.1897299453831712	lnc_inter_chr10_8711,lnc_inter_chr10_9000,lnc_inter_chr10_9224	lnc_inter_chr10_8711_2510039O18Rik_RBR3,lnc_inter_chr10_9000_2510039O18Rik_RBR3,lnc_inter_chr10_9224_2510039O18Rik_RBR4	lnc_inter_chr10_8711_DBR1_2510039O18Rik_RBR3,lnc_inter_chr10_8711_DBR3_2510039O18Rik_RBR3,lnc_inter_chr10_9000_DBR4_2510039O18Rik_RBR3,lnc_inter_chr10_9000_DBR5_2510039O18Rik_RBR3,lnc_inter_chr10_9000_DBR6_2510039O18Rik_RBR3,lnc_inter_chr10_9000_DBR9_2510039O18Rik_RBR3,lnc_inter_chr10_9224_DBR3_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR4_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR5_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR6_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR13_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR16_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR19_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR20_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR26_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR28_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR30_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR31_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR34_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR41_2510039O18Rik_RBR4,lnc_inter_chr10_9224_DBR50_2510039O18Rik_RBR4
