lnc	gname	DBD	DBR_ID	DBR	DBR_chr	DBR_start	DBR_end	DBR_span	DBR_RBR_count	DBR_TFO_count	DBR_RBR_span	DBR_TFO_abj1	DBR_TFO_abj2	DBR_score	DBR_error_rate	DBR_gc_error	BR_list
lnc_inter_chr10_8711	Adamts6	1	lnc_inter_chr10_8711_Adamts6_DBR1	1	chr10	1545	1565	20	1	2	25	1.25	2.5	16	0.2	0.15	lnc_inter_chr10_8711_DBR1_Adamts6_RBR3
lnc_inter_chr10_8711	Actb	2	lnc_inter_chr10_8711_Actb_DBR2	2	chr10	1753	1777	24	1	2	24	1.1162790697674418	2.2325581395348837	18	0.16	0.14	lnc_inter_chr10_8711_DBR2_Actb_RBR1
lnc_inter_chr10_8711	Agtr1a	3	lnc_inter_chr10_8711_Agtr1a_DBR2	2	chr10	2306	2326	20	1	3	28	1.4	4.199999999999999	16	0.2	0.1	lnc_inter_chr10_8711_DBR2_Agtr1a_RBR1
lnc_inter_chr10_8711	Arl8b	4	lnc_inter_chr10_8711_Arl8b_DBR2	2	chr10	2612	2637	25	1	3	25	1.25	3.75	16	0.2	0.1	lnc_inter_chr10_8711_DBR2_Arl8b_RBR1
lnc_inter_chr10_8711	2610507B11Rik	4	lnc_inter_chr10_8711_2610507B11Rik_DBR1	1	chr10	2619	2639	20	1	2	22	1.1	2.2	16	0.2	0.05	lnc_inter_chr10_8711_DBR1_2610507B11Rik_RBR1
lnc_inter_chr10_8711	Acp6	4	lnc_inter_chr10_8711_Acp6_DBR2	2	chr10	2617	2639	22	1	3	25	1.25	3.75	16	0.2	0.06666666666666667	lnc_inter_chr10_8711_DBR2_Acp6_RBR1
lnc_inter_chr10_8711	Actb	4	lnc_inter_chr10_8711_Actb_DBR3	3	chr10	2611	2639	28	1	2	28	1.3658536585365857	2.731707317073171	16.5	0.195	0.12	lnc_inter_chr10_8711_DBR3_Actb_RBR1
lnc_inter_chr10_8711	Aebp2	4	lnc_inter_chr10_8711_Aebp2_DBR3	3	chr10	2619	2639	20	1	4	37	1.85	7.4	16	0.2	0.0625	lnc_inter_chr10_8711_DBR3_Aebp2_RBR2
lnc_inter_chr10_8711	Aen	4	lnc_inter_chr10_8711_Aen_DBR1	1	chr10	2617	2639	22	1	2	21	1.05	2.1	16.5	0.175	0.1	lnc_inter_chr10_8711_DBR1_Aen_RBR3
lnc_inter_chr10_8711	Arntl	4	lnc_inter_chr10_8711_Arntl_DBR2	2	chr10	2612	2639	27	1	4	30	1.5	6	16.25	0.1875	0.07500000000000001	lnc_inter_chr10_8711_DBR2_Arntl_RBR1
lnc_inter_chr10_8711	Acp6	5	lnc_inter_chr10_8711_Acp6_DBR3	3	chr10	2912	2940	28	1	6	42	2.1	12.6	16	0.2	0.06666666666666667	lnc_inter_chr10_8711_DBR3_Acp6_RBR1
lnc_inter_chr10_8711	Adamts6	5	lnc_inter_chr10_8711_Adamts6_DBR5	5	chr10	2916	2942	26	1	2	26	1.238095238095238	2.4761904761904763	17	0.19	0.0955	lnc_inter_chr10_8711_DBR5_Adamts6_RBR2
