Gene	Bias	TCPOBOP_FPKM	TCPOBOP_FC	TCPOBOP_Compartment
ncRNA_inter_chr11_10221	Down	0.09	-8.76	CBnPAs - Male
ncRNA_intra_chr11_9969	Down	13.01	-2.83	Cyto - Female
ncRNA_inter_chr17_13876	Up	31.88	1.98	 Nuc - Male
ncRNA_as_chr19_14977	Down	6.80	-14.73	Cyto - Female
ncRNA_inter_chr3_2363	Down	10.10	-1.90	CBnPAs - Female
ncRNA_as_chr19_14916	Down	6.49	-4.18	CB - Female
ncRNA_as_chr8_7375	Down	41.50	-2.02	NP - Male
ncRNA_inter_chr11_10185	Up	14.55	2.98	CB - Female
ncRNA_inter_chr6_5384	Down	2.01	-3.31	NP - Male
ncRNA_inter_chr16_13509	Up	11.07	28.75	CB - Female
ncRNA_inter_chr18_14395	Down	0.72	-3.74	Cyto - Male
ncRNA_as_chr11_9790	Up	51.31	2.15	CB - Male
ncRNA_as_chr3_2125	Down	0.37	-3.06	Nuc - Female
ncRNA_inter_chr11_10189	Down	30.37	-1.92	Nuc - Female
ncRNA_as_chr1_504	Up	3.16	4.93	Cyto - Male
ncRNA_inter_chr16_13190	Up	18.18	3.71	CB - Female
ncRNA_inter_chr10_9210	Down	0.55	-3.58	Nuc - Female
ncRNA_inter_chr17_13576	Up	77.17	2.01	CBnPAs - Male
ncRNA_inter_chr4_3079	Down	3.79	-3.42	NP - Male
ncRNA_as_chr19_14740	Down	2.49	-19.94	Cyto - Female
ncRNA_as_chr9_7825	Down	24.77	-1.75	CBnPAs - Male
ncRNA_inter_chr19_14987	Down	27.47	-2.50	CB - Female
ncRNA_inter_chr7_6524	Up	14.15	8.76	CB - Female
ncRNA_as_chr19_14779	Up	12.85	1.83	 Nuc - Male
ncRNA_inter_chr10_9183	Down	13.26	-3.70	CBnPAs - Female
ncRNA_as_chr10_8848	Down	0.22	-4.44	Nuc - Female
ncRNA_intra_chr19_14934	Down	24.33	-4.59	CB - Female
ncRNA_inter_chr13_11377	Down	5.63	-2.66	CB - Female
ncRNA_inter_chr2_2007	Up	12.08	2.07	CBnPAs - Female
ncRNA_as_chr18_14384	Up	0.19	6.38	CB - Female
ncRNA_inter_chr7_6342	Up	0.99	10.55	Cyto - Female
ncRNA_inter_chr5_4577	Down	15.27	-4.22	CB - Male
ncRNA_inter_chr8_6741	Down	11.19	-3.88	CBnPAs - Female
ncRNA_inter_chr12_10945	Down	2.63	-2.55	Nuc - Female
ncRNA_inter_chr11_9979	Down	1.59	-2.37	CBnPAs - Male
ncRNA_as_chr2_2065	Down	8.77	-2.72	CB - Female
ncRNA_inter_chr11_9599	Down	10.15	-2.05	CBnPAs - Female
ncRNA_as_chr11_9692	Down	53.68	-2.13	CB - Male
ncRNA_inter_chr5_4278	Up	7.40	2.07	 Nuc - Male
ncRNA_inter_chr12_10942	Down	7.59	-20.73	CB - Female
ncRNA_as_chr1_733	Up	48.88	2.02	CB - Male
ncRNA_intra_chr12_10508	Down	11.15	-2.20	CB - Male
ncRNA_inter_chr18_14223	Down	0.30	-3.65	CB - Female
ncRNA_as_chr2_1560	Down	0.88	-9.48	CBnPAs - Male
ncRNA_inter_chr11_9442	Up	31.02	1.98	 Nuc - Male
ncRNA_inter_chr11_9714	Down	10.67	-2.16	Nuc - Female
ncRNA_inter_chr4_3468	Up	45.30	2.16	CBnPAs - Male
ncRNA_as_chr3_2544	Down	6.91	-2.16	Nuc - Female
ncRNA_inter_chr5_4578	Down	0.63	-65.95	CBnPAs - Male
ncRNA_intra_chr2_1247	Up	0.75	2.37	CBnPAs - Male
ncRNA_as_chr1_762	Down	4.48	-2.38	Nuc - Female
ncRNA_inter_chr10_8899	Down	2.60	-4.00	NP - Male
ncRNA_inter_chr10_8697	Up	2.20	23.92	CBnPAs - Male
ncRNA_as_chr16_13145	Up	0.81	2.80	Cyto - Male
ncRNA_as_chr9_8082	Down	2.56	-2.32	CB - Male
ncRNA_inter_chr9_8275	Down	1.42	-7.61	Nuc - Female
ncRNA_inter_chr19_14746	Down	271.94	-2.22	Nuc - Female
ncRNA_as_chr5_4613	Up	0.83	8.89	CBnPAs - Male
ncRNA_inter_chr15_12608	Up	7.66	2.06	CBnPAs - Male
ncRNA_inter_chr17_13739	Up	13.52	2.33	CB - Male
ncRNA_intra_chr1_393	Down	1.78	-2.22	CB - Female
ncRNA_inter_chr11_9726	Down	3.32	-6.87	CB - Female
ncRNA_as_chr19_14777	Up	2.86	2.01	CB - Male
ncRNA_inter_chr12_10895	Up	18.32	8.20	CB - Male
ncRNA_intra_chr2_1796	Up	1.78	6.41	Nuc - Female
ncRNA_inter_chrX_15394	Up	4.33	3.51	CBnPAs - Male
1110054M08RIK	Down	28.61	-1.99	Nuc - Female
1500015A07RIK	Down	6.17	-3.22	Cyto - Female
1600002H07RIK	Down	9.96	-2.24	Nuc - Female
1810011O10RIK	Down	3.74	-2.81	CBnPAs - Female
1810058I24RIK	Down	56.45	-1.66	Nuc - Female
2010111I01RIK	Down	13.12	-1.92	Nuc - Female
2310001H17RIK	Down	53.85	-2.26	NP - Male
2610507I01RIK	Down	7.59	-5.01	CB - Male
2810007J24RIK	Down	54.75	-2.12	 Nuc - Male
2810459M11RIK	Down	21.29	-1.64	Nuc - Female
3110082I17RIK	Down	9.06	-5.37	Nuc - Female
3930402G23RIK	Down	0.68	-11.16	CB - Female
4833411C07RIK	Down	9.32	-2.38	Cyto - Female
4930523C07RIK	Down	6.44	-1.94	CB - Female
5031439G07RIK	Down	1.87	-1.93	CBnPAs - Male
6430550D23RIK	Down	1.52	-3.94	NP - Male
9530091C08RIK	Down	4.57	-2.12	CB - Female
A2M	Down	1.14	-4.68	Cyto - Female
A830010M20RIK	Down	1.39	-2.49	CBnPAs - Female
ABCA8A	Down	14.71	-2.40	Cyto - Female
ABCB4	Down	49.08	-1.84	NP - Male
ABCG5	Down	54.55	-2.38	NP - Male
ABHD14B	Down	82.05	-1.70	Nuc - Female
ABHD15	Down	13.37	-1.87	 Nuc - Male
ACAA1A	Down	128.79	-1.62	Nuc - Female
ACAT3	Down	256.15	-1.94	Cyto - Female
ACOT3	Down	18.72	-6.36	Cyto - Female
ACSF2	Down	6.59	-2.04	CB - Female
ACSM3	Down	8.69	-2.19	CB - Male
ACSS3	Down	1.91	-2.36	CBnPAs - Male
ACTN1	Down	5.96	-1.71	CBnPAs - Male
ACVR2B	Down	15.04	-2.17	CB - Female
ADAP2	Down	22.75	-2.90	CB - Female
ADCK5	Down	46.44	-2.36	Nuc - Female
ADCY6	Down	4.21	-2.11	CBnPAs - Male
ADH6-PS1	Down	3.35	-4.49	CB - Male
ADIPOR2	Down	42.59	-2.08	CB - Female
ADORA1	Down	12.42	-4.03	CB - Male
ADRB3	Down	12.13	-19.65	CB - Female
ADRBK2	Down	1.38	-2.80	CBnPAs - Male
AGPAT2	Down	183.31	-1.96	Nuc - Female
AGT	Down	532.97	-2.12	Nuc - Female
AGTRAP	Down	0.75	-2.13	CBnPAs - Female
