lnc	gname	DBR_ID	DBR	DBR_chr	DBR_start	DBR_end	DBR_span	DBR_RBR_count	DBR_TFO_count	DBR_RBR_span	DBR_TFO_abj1	DBR_TFO_abj2	DBR_score	DBR_error_rate	DBR_gc_error	BR_list
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR1	1	chr10	3215	3237	22	1	1	22	1	1	18	0.18	0.18	lnc_inter_chr10_8711_DBR1_0610010F05Rik_RBR3
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR2	2	chr10	4643	4696	53	1	142	90	3.2577109355085394	462.5949528422126	23.133802816901408	0.16516197183098594	0.3564788732394366	lnc_inter_chr10_8711_DBR2_0610010F05Rik_RBR2
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR3	3	chr10	11642	11780	138	2	1735	115	4.181159840101964	5517.131162736806	21.64532871972318	0.13469348327566322	0.4205795847750865	lnc_inter_chr10_8711_DBR3_0610010F05Rik_RBR1,lnc_inter_chr10_8711_DBR3_0610010F05Rik_RBR2
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR4	4	chr10	13599	13637	38	1	4	22	1.1	4.4	16	0.2	0.1125	lnc_inter_chr10_8711_DBR4_0610010F05Rik_RBR3
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR5	5	chr10	18277	18300	23	1	19	57	2.548235294117647	48.4164705882353	18.63157894736842	0.16578947368421054	0.47947368421052633	lnc_inter_chr10_8711_DBR5_0610010F05Rik_RBR2
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_DBR6	6	chr10	18406	18459	53	1	756	98	3.2866648922012245	2484.718658504126	26.05952380952381	0.1260079365079365	0.37366402116402114	lnc_inter_chr10_8711_DBR6_0610010F05Rik_RBR2
lnc_inter_chr10_8711	1110004F10Rik	lnc_inter_chr10_8711_1110004F10Rik_DBR1	1	chr10	3208	3237	29	2	4	44	2.180327868852459	4.540983606557377	16.166666666666664	0.19833333333333336	0.133	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR1,lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR2
lnc_inter_chr10_8711	1110004F10Rik	lnc_inter_chr10_8711_1110004F10Rik_DBR2	2	chr10	13602	13644	42	1	12	24	1.161290322580645	13.93548387096774	16.666666666666668	0.19333333333333333	0.0485	lnc_inter_chr10_8711_DBR2_1110004F10Rik_RBR1
lnc_inter_chr10_8711	1600014C10Rik	lnc_inter_chr10_8711_1600014C10Rik_DBR1	1	chr10	11934	11955	21	1	2	21	1.024390243902439	2.048780487804878	16.5	0.195	0.195	lnc_inter_chr10_8711_DBR1_1600014C10Rik_RBR1
lnc_inter_chr10_8711	1600014C10Rik	lnc_inter_chr10_8711_1600014C10Rik_DBR2	2	chr10	13613	13643	30	1	5	25	1.2376237623762376	6.188118811881188	16.2	0.198	0.099	lnc_inter_chr10_8711_DBR2_1600014C10Rik_RBR1
