Lnc_Id	76K_Gene_Id	15K_Gene_Id	Refseq	Class	TCPOBOP_Response	Sex_Bias	Hypoxclass	Response
lnc_chr1_401	lncRNA_inter_chr1_401	ncRNA_inter_chr1_401	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr1_47	lncRNA_inter_chr1_47	ncRNA_inter_chr1_47	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr1_494	lncRNA_inter_chr1_494	ncRNA_inter_chr1_496	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr1_51	lncRNA_inter_chr1_51	ncRNA_inter_chr1_51	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr1_55	lncRNA_inter_chr1_55	ncRNA_inter_chr1_56,ncRNA_inter_chr1_73	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr1_673	lncRNA_inter_chr1_673	ncRNA_inter_chr1_678	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr1_782	lncRNA_as_chr1_782	ncRNA_as_chr1_782	NA	ANTISENSE	UP	F	NA	BOTH
lnc_chr1_931	lncRNA_inter_chr1_931	ncRNA_inter_chr1_931	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr1_987	lncRNA_inter_chr1_987	ncRNA_inter_chr1_987	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr10_8460	lncRNA_as_chr10_8460	ncRNA_as_chr10_8460	NA	ANTISENSE	UP	I	NA	TCPOBOP
lnc_chr10_8696	lncRNA_inter_chr10_8696	ncRNA_inter_chr10_8697	GM20125	INTERGENIC	NA	F	Female Class II	SB
lnc_chr10_8767	lncRNA_inter_chr10_8767	ncRNA_inter_chr10_8767	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr10_8829	lncRNA_inter_chr10_8829	ncRNA_inter_chr10_8829	NA	INTERGENIC	NA	M	Male Class I	SB
lnc_chr10_8927	lncRNA_as_chr10_8927	ncRNA_as_chr10_8927	NA	ANTISENSE	UP	I	NA	TCPOBOP
lnc_chr10_8999	lncRNA_inter_chr10_8999	ncRNA_inter_chr10_8999	C730027H18RIK	INTERGENIC	NA	M	Male Class II	SB
lnc_chr10_9015	lncRNA_as_chr10_9015	ncRNA_as_chr10_9015	NA	ANTISENSE	UP	I	NA	TCPOBOP
lnc_chr10_9351	lncRNA_inter_chr10_9351	ncRNA_inter_chr10_9351	NA	INTERGENIC	NA	M	Male Class II	SB
lnc_chr11_9433	lncRNA_inter_chr11_9433	ncRNA_inter_chr11_9433	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr11_9709	lncRNA_as_chr11_9709	ncRNA_as_chr11_9709	NA	ANTISENSE	UP	I	NA	TCPOBOP
lnc_chr11_9924	lncRNA_inter_chr11_9924	ncRNA_inter_chr11_9925	NA	INTERGENIC	NA	M	Male Class II	SB
lnc_chr12_10621	lncRNA_inter_chr12_10621	ncRNA_inter_chr12_10621	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr12_10715	lncRNA_inter_chr12_10715	ncRNA_inter_chr12_10715	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr12_10896	lncRNA_as_chr12_10896	ncRNA_as_chr12_10896	NA	ANTISENSE	UP	I	NA	TCPOBOP
lnc_chr12_10942	lncRNA_inter_chr12_10942	ncRNA_inter_chr12_10942	DIO3OS	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr13_11031	lncRNA_inter_chr13_11031	ncRNA_inter_chr13_11031	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr13_11189	lncRNA_inter_chr13_11189	ncRNA_inter_chr13_11189	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr13_11294	lncRNA_inter_chr13_11294	ncRNA_inter_chr13_11294	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr13_11385	lncRNA_inter_chr13_11385	ncRNA_inter_chr13_11385	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr13_11437	lncRNA_inter_chr13_11437	ncRNA_inter_chr13_11437	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr13_11438	lncRNA_inter_chr13_11438	ncRNA_inter_chr13_11438	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr13_11669	lncRNA_inter_chr13_11669	ncRNA_inter_chr13_11669	NA	INTERGENIC	NA	M	Male Class I	SB
lnc_chr13_11670	lncRNA_inter_chr13_11670	ncRNA_inter_chr13_11670	NA	INTERGENIC	NA	M	Male Class I	SB
lnc_chr14_12026	lncRNA_inter_chr14_12026	ncRNA_inter_chr14_12026	NA	INTERGENIC	DOWN	I	NA	TCPOBOP
lnc_chr14_12154	lncRNA_inter_chr14_12154	ncRNA_inter_chr14_12154	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr15_12585	lncRNA_inter_chr15_12585	ncRNA_inter_chr15_12585	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr15_12586	lncRNA_inter_chr15_12586	ncRNA_inter_chr15_12586	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr15_12588	lncRNA_inter_chr15_12588	ncRNA_inter_chr15_12588	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr15_12595	lncRNA_inter_chr15_12595	ncRNA_inter_chr15_12595	NA	INTERGENIC	NA	F	Female Class I	SB
lnc_chr15_12684	lncRNA_inter_chr15_12684	ncRNA_inter_chr15_12684	9030619P08RIK	INTERGENIC	NA	F	Female Class I	SB
lnc_chr15_12792	lncRNA_inter_chr15_12792	ncRNA_inter_chr15_12792	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr15_12817	lncRNA_as_chr15_12817	ncRNA_as_chr15_12817	NA	ANTISENSE	DOWN	M	Male Class I	BOTH
lnc_chr15_12818	lncRNA_as_chr15_12818	ncRNA_as_chr15_12818	NA	ANTISENSE	NA	M	Male Class I	SB
lnc_chr15_12834	lncRNA_inter_chr15_12834	ncRNA_inter_chr15_12834	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr15_12835	lncRNA_inter_chr15_12835	ncRNA_inter_chr15_12835	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr15_12836	lncRNA_inter_chr15_12836	ncRNA_inter_chr15_12836	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr15_12957	lncRNA_as_chr15_12957	ncRNA_as_chr15_12957	NA	ANTISENSE	NA	F	NA	SB
lnc_chr16_13225	lncRNA_inter_chr16_13225	ncRNA_inter_chr16_13225	NA	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr16_13508	lncRNA_inter_chr16_13508	ncRNA_inter_chr16_13508,ncRNA_inter_chr16_13509	1810053B23RIK	INTERGENIC	UP	I	NA	TCPOBOP
lnc_chr16_13510	lncRNA_inter_chr16_13510	ncRNA_inter_chr16_13510	NA	INTERGENIC	UP	I	NA	TCPOBOP
