lnc	DBR	gname	RBR	RBR_DBR_ID	RBR_DBR_avg_len	RBR_DBR_TFO_count	RBR_DBR_start	RBR_DBR_end	RBR_DBR_score	RBR_DBR_error_rate	RBR_DBR_gc_error	RBR_DBR_RBRspan	RBR_DBR_DBRspan	RBR_DBR_TFO_avg_overlap	RBR_DBR_TFO_adj1	RBR_DBR_TFO_adj2
lnc_inter_chr10_9000	1	0610010F05Rik	1	lnc_inter_chr10_9000_DBR1_0610010F05Rik_RBR1	29.837349397590362	498	23634242	23634337	27.512048192771083	0.07817469879518073	0.42877510040160643	95	52	156.41052631578947	3.183928931960428	1585.596608116293
lnc_inter_chr10_9000	1	1110004F10Rik	2	lnc_inter_chr10_9000_DBR1_1110004F10Rik_RBR2	20	2	116092760	116092780	16	0.2	0	20	27	2	1	2
lnc_inter_chr10_9000	1	1600014C10Rik	1	lnc_inter_chr10_9000_DBR1_1600014C10Rik_RBR1	20	1	38182360	38182380	16	0.2	0.2	20	20	1	1	1
lnc_inter_chr10_9000	1	1600014C10Rik	2	lnc_inter_chr10_9000_DBR1_1600014C10Rik_RBR2	21.083333333333332	12	38182921	38182945	17.083333333333332	0.18916666666666668	0.14750000000000002	24	64	10.541666666666666	1.1383399209486167	13.6600790513834
lnc_inter_chr10_9000	1	1810055G02Rik	1	lnc_inter_chr10_9000_DBR1_1810055G02Rik_RBR1	20	1	3708069	3708089	16	0.2	0.55	20	20	1	1	1
lnc_inter_chr10_9000	1	2310030G06Rik	1	lnc_inter_chr10_9000_DBR1_2310030G06Rik_RBR1	24.675	40	50747436	50747479	19.975	0.1895	0.2235	43	116	22.953488372093023	1.7426545086119554	69.70618034447821
lnc_inter_chr10_9000	1	2410002F23Rik	1	lnc_inter_chr10_9000_DBR1_2410002F23Rik_RBR1	21	1	44246149	44246170	17	0.19	0.71	21	21	1	1	1
lnc_inter_chr10_9000	1	2510039O18Rik	1	lnc_inter_chr10_9000_DBR1_2510039O18Rik_RBR1	20	1	147939973	147939993	16	0.2	0.05	20	20	1	1	1
lnc_inter_chr10_9000	1	2610507B11Rik	1	lnc_inter_chr10_9000_DBR1_2610507B11Rik_RBR1	22.102564102564102	39	78261008	78261042	18.53846153846154	0.16	0.004384615384615384	34	29	25.352941176470587	1.5382830626450117	59.99303944315545
lnc_inter_chr10_9000	1	2610507B11Rik	2	lnc_inter_chr10_9000_DBR1_2610507B11Rik_RBR2	20	1	78261194	78261214	16	0.2	0	20	20	1	1	1
lnc_inter_chr10_9000	1	2810004N23Rik	1	lnc_inter_chr10_9000_DBR1_2810004N23Rik_RBR1	20	1	124863516	124863536	16	0.2	0.55	20	20	1	1	1
lnc_inter_chr10_9000	1	2900026A02Rik	1	lnc_inter_chr10_9000_DBR1_2900026A02Rik_RBR1	20.333333333333332	3	113221559	113221582	16.333333333333332	0.19666666666666668	0.065	23	25	2.652173913043478	1.1311475409836067	3.39344262295082
lnc_inter_chr10_9000	1	2900026A02Rik	2	lnc_inter_chr10_9000_DBR1_2900026A02Rik_RBR2	20	1	113222254	113222274	16	0.2	0	20	20	1	1	1
lnc_inter_chr10_9000	1	3110082I17Rik	2	lnc_inter_chr10_9000_DBR1_3110082I17Rik_RBR2	20	1	139460930	139460950	17	0.15	0.45	20	20	1	1	1
lnc_inter_chr10_9000	1	9130401M01Rik	1	lnc_inter_chr10_9000_DBR1_9130401M01Rik_RBR1	20	1	58034964	58034984	16	0.2	0.25	20	20	1	1	1
lnc_inter_chr10_9000	1	A430005L14Rik	2	lnc_inter_chr10_9000_DBR1_A430005L14Rik_RBR2	28.2	30	153956514	153956550	22.733333333333334	0.193	0.4056666666666667	36	60	23.5	1.2765957446808511	38.297872340425535
lnc_inter_chr10_9000	1	AI987944	2	lnc_inter_chr10_9000_DBR1_AI987944_RBR2	20.6	5	41394076	41394117	16.6	0.194	0.662	41	23	2.5121951219512195	1.9902912621359221	9.95145631067961
lnc_inter_chr10_9000	1	AI987944	3	lnc_inter_chr10_9000_DBR1_AI987944_RBR3	22	1	41394126	41394148	19	0.14	0.55	22	22	1	1	1
lnc_inter_chr10_9000	1	Aaas	1	lnc_inter_chr10_9000_DBR1_Aaas_RBR1	20	1	102351549	102351569	16	0.2	0	20	20	1	1	1
