lnc	gname	RBR_ID	RBR	RBR_avg_len	RBR_chr	RBR_start	RBR_end	RBR_span	RBR_TFO_count_total	RBR_DBR_count	RBR_TFO_count_avg	RBR_DBR_span	RBR_TFO_abj1	RBR_TFO_abj2	RBR_score	RBR_error_rate	RBR_gc_error	BR_list
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_RBR1	1	20	chr11	23633815	23633835	20	1	1	1	20	1	1	17	0.15	0.45	lnc_inter_chr10_8711_DBR3_0610010F05Rik_RBR1
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_RBR2	2	29.67672576386269	chr11	23634239	23634337	98	2651	4	662.75	267	12.273770961929376	8511.86124467138	23.52889075331	0.14408658714361486	0.4001939370410393	lnc_inter_chr10_8711_DBR2_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR3_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR5_0610010F05Rik_RBR2,lnc_inter_chr10_8711_DBR6_0610010F05Rik_RBR2
lnc_inter_chr10_8711	0610010F05Rik	lnc_inter_chr10_8711_0610010F05Rik_RBR3	3	20.4	chr11	23634407	23634429	22	5	2	2.5	60	2.1	5.4	17	0.19	0.14625	lnc_inter_chr10_8711_DBR1_0610010F05Rik_RBR3,lnc_inter_chr10_8711_DBR4_0610010F05Rik_RBR3
lnc_inter_chr10_8711	1110004F10Rik	lnc_inter_chr10_8711_1110004F10Rik_RBR1	1	20.6	chr7	116092758	116092782	24	15	2	7.5	71	2.341618191433104	17.476467477525116	16.5	0.195	0.05725	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR1,lnc_inter_chr10_8711_DBR2_1110004F10Rik_RBR1
lnc_inter_chr10_8711	1110004F10Rik	lnc_inter_chr10_8711_1110004F10Rik_RBR2	2	20	chr7	116092825	116092845	20	1	1	1	20	1	1	16	0.2	0.2	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR2
lnc_inter_chr10_8711	1600014C10Rik	lnc_inter_chr10_8711_1600014C10Rik_RBR1	1	20.285714285714285	chr7	38182921	38182947	26	7	2	3.5	51	2.262014006278677	8.236899299686065	16.35	0.1965	0.14700000000000002	lnc_inter_chr10_8711_DBR1_1600014C10Rik_RBR1,lnc_inter_chr10_8711_DBR2_1600014C10Rik_RBR1
lnc_inter_chr10_8711	2310030G06Rik	lnc_inter_chr10_8711_2310030G06Rik_RBR1	1	20.363636363636363	chr9	50747428	50747477	49	11	5	2.2	122	7.004878048780488	19.01951219512195	16.7	0.185	0.2425	lnc_inter_chr10_8711_DBR1_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR2_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR3_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR4_2310030G06Rik_RBR1,lnc_inter_chr10_8711_DBR5_2310030G06Rik_RBR1
lnc_inter_chr10_8711	2510039O18Rik	lnc_inter_chr10_8711_2510039O18Rik_RBR1	1	20.5	chr4	147939972	147939998	26	4	1	4	40	1.2682926829268293	5.073170731707317	16.5	0.195	0.0245	lnc_inter_chr10_8711_DBR3_2510039O18Rik_RBR1
lnc_inter_chr10_8711	2510039O18Rik	lnc_inter_chr10_8711_2510039O18Rik_RBR2	2	20	chr4	147940535	147940555	20	1	1	1	20	1	1	16	0.2	0.2	lnc_inter_chr10_8711_DBR2_2510039O18Rik_RBR2
lnc_inter_chr10_8711	2510039O18Rik	lnc_inter_chr10_8711_2510039O18Rik_RBR3	3	22	chr4	147940690	147940716	26	5	2	2.5	51	2.155555555555555	5.622222222222222	17.125	0.19375	0.1595	lnc_inter_chr10_8711_DBR1_2510039O18Rik_RBR3,lnc_inter_chr10_8711_DBR3_2510039O18Rik_RBR3
