lnc	gname	RBR_ID	RBR	RBR_avg_len	RBR_chr	RBR_start	RBR_end	RBR_span	RBR_TFO_count_total	RBR_DBR_count	RBR_TFO_count_avg	RBR_DBR_span	RBR_TFO_abj1	RBR_TFO_abj2	RBR_score	RBR_error_rate	RBR_gc_error	BR_list
lnc_inter_chr10_9222	0610010F05Rik	lnc_inter_chr10_9222_0610010F05Rik_RBR1	1	20	chr11	23634407	23634427	20	1	1	1	20	1	1	16	0.2	0.05	lnc_inter_chr10_9222_DBR1_0610010F05Rik_RBR1
lnc_inter_chr10_9222	0610010F05Rik	lnc_inter_chr10_9222_0610010F05Rik_RBR2	2	20	chr11	23634445	23634469	24	18	1	18	28	1.2	21.599999999999998	16	0.2	0	lnc_inter_chr10_9222_DBR1_0610010F05Rik_RBR2
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_RBR1	1	21	chr7	116092460	116092481	21	1	1	1	21	1	1	18	0.14	0.76	lnc_inter_chr10_9222_DBR3_1110004F10Rik_RBR1
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_RBR2	2	21.88888888888889	chr7	116092758	116092783	25	18	1	18	31	1.1421319796954315	20.558375634517766	17.77777777777778	0.18666666666666668	0.0044444444444444444	lnc_inter_chr10_9222_DBR1_1110004F10Rik_RBR2
lnc_inter_chr10_9222	1110004F10Rik	lnc_inter_chr10_9222_1110004F10Rik_RBR3	3	20	chr7	116092836	116092856	20	1	1	1	20	1	1	16	0.2	0.35	lnc_inter_chr10_9222_DBR2_1110004F10Rik_RBR3
lnc_inter_chr10_9222	1600014C10Rik	lnc_inter_chr10_9222_1600014C10Rik_RBR1	1	20	chr7	38182925	38182945	20	1	1	1	20	1	1	16	0.2	0.15	lnc_inter_chr10_9222_DBR1_1600014C10Rik_RBR1
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_RBR1	1	20.4	chr4	147939972	147939998	26	20	2	10	48	2.2731958762886597	25.190721649484534	16.210526315789473	0.1978947368421053	0.025	lnc_inter_chr10_9222_DBR2_2510039O18Rik_RBR1,lnc_inter_chr10_9222_DBR5_2510039O18Rik_RBR1
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_RBR2	2	23.333333333333332	chr4	147940473	147940506	33	3	2	1.5	50	2.090909090909091	3.1818181818181817	19.5	0.185	0.5075000000000001	lnc_inter_chr10_9222_DBR1_2510039O18Rik_RBR2,lnc_inter_chr10_9222_DBR4_2510039O18Rik_RBR2
lnc_inter_chr10_9222	2510039O18Rik	lnc_inter_chr10_9222_2510039O18Rik_RBR3	3	20	chr4	147940529	147940549	20	1	1	1	20	1	1	16	0.2	0.35	lnc_inter_chr10_9222_DBR3_2510039O18Rik_RBR3
lnc_inter_chr10_9222	2610507B11Rik	lnc_inter_chr10_9222_2610507B11Rik_RBR1	1	25.613636363636363	chr11	78261008	78261046	38	88	2	44	67	2.920913190529876	124.93844419391206	20.096354166666664	0.1620182291666667	0.0055078125000000006	lnc_inter_chr10_9222_DBR1_2610507B11Rik_RBR1,lnc_inter_chr10_9222_DBR2_2610507B11Rik_RBR1
lnc_inter_chr10_9222	2610507B11Rik	lnc_inter_chr10_9222_2610507B11Rik_RBR2	2	23	chr11	78261188	78261215	27	11	1	11	30	1.173913043478261	12.913043478260871	18.545454545454547	0.19363636363636363	0.0033636363636363634	lnc_inter_chr10_9222_DBR1_2610507B11Rik_RBR2
lnc_inter_chr10_9222	2810004N23Rik	lnc_inter_chr10_9222_2810004N23Rik_RBR1	1	20	chr8	124863516	124863536	20	1	1	1	20	1	1	16	0.2	0.55	lnc_inter_chr10_9222_DBR1_2810004N23Rik_RBR1
lnc_inter_chr10_9222	2810004N23Rik	lnc_inter_chr10_9222_2810004N23Rik_RBR2	2	22	chr8	124863649	124863671	22	1	1	1	22	1	1	18	0.18	0.55	lnc_inter_chr10_9222_DBR1_2810004N23Rik_RBR2
lnc_inter_chr10_9222	2900026A02Rik	lnc_inter_chr10_9222_2900026A02Rik_RBR1	1	22.08695652173913	chr5	113221559	113221587	28	23	1	23	30	1.267716535433071	29.157480314960633	17.91304347826087	0.18782608695652175	0	lnc_inter_chr10_9222_DBR1_2900026A02Rik_RBR1
lnc_inter_chr10_9222	2900026A02Rik	lnc_inter_chr10_9222_2900026A02Rik_RBR2	2	21.833333333333332	chr5	113222250	113222275	25	18	1	18	34	1.1450381679389314	20.610687022900766	17.833333333333332	0.18166666666666667	0	lnc_inter_chr10_9222_DBR1_2900026A02Rik_RBR2
lnc_inter_chr10_9222	A430005L14Rik	lnc_inter_chr10_9222_A430005L14Rik_RBR1	1	20	chr4	153956597	153956617	20	1	1	1	20	1	1	16	0.2	0.5	lnc_inter_chr10_9222_DBR1_A430005L14Rik_RBR1
lnc_inter_chr10_9222	A430005L14Rik	lnc_inter_chr10_9222_A430005L14Rik_RBR2	2	21	chr4	153956628	153956649	21	1	1	1	21	1	1	17	0.19	0.38	lnc_inter_chr10_9222_DBR2_A430005L14Rik_RBR2
lnc_inter_chr10_9222	A430005L14Rik	lnc_inter_chr10_9222_A430005L14Rik_RBR3	3	20	chr4	153956657	153956677	20	1	1	1	20	1	1	16	0.2	0.4	lnc_inter_chr10_9222_DBR2_A430005L14Rik_RBR3
lnc_inter_chr10_9222	AI987944	lnc_inter_chr10_9222_AI987944_RBR1	1	25.10919540229885	chr7	41394072	41394233	161	174	3	58	97	14.039490029996493	979.7650101414245	18.62479145812479	0.1936786786786787	0.6040924257590925	lnc_inter_chr10_9222_DBR1_AI987944_RBR1,lnc_inter_chr10_9222_DBR2_AI987944_RBR1,lnc_inter_chr10_9222_DBR3_AI987944_RBR1
lnc_inter_chr10_9222	Aaas	lnc_inter_chr10_9222_Aaas_RBR1	1	20	chr15	102351549	102351569	20	9	1	9	28	1	9	16	0.2	0	lnc_inter_chr10_9222_DBR1_Aaas_RBR1
lnc_inter_chr10_9222	Aarsd1	lnc_inter_chr10_9222_Aarsd1_RBR1	1	24.923076923076923	chr11	101418072	101418107	35	26	1	26	35	1.404320987654321	36.51234567901235	20.384615384615383	0.18153846153846154	0	lnc_inter_chr10_9222_DBR1_Aarsd1_RBR1
lnc_inter_chr10_9222	Aatk	lnc_inter_chr10_9222_Aatk_RBR1	1	20.5	chr11	120047193	120047215	22	2	1	2	22	1.0731707317073171	2.1463414634146343	16.5	0.195	0.805	lnc_inter_chr10_9222_DBR1_Aatk_RBR1
lnc_inter_chr10_9222	Abca8a	lnc_inter_chr10_9222_Abca8a_RBR1	1	24.848484848484848	chr11	110096243	110096281	38	33	1	33	30	1.5292682926829269	50.46585365853659	20.21212121212121	0.18575757575757576	0	lnc_inter_chr10_9222_DBR1_Abca8a_RBR1
lnc_inter_chr10_9222	Abca8a	lnc_inter_chr10_9222_Abca8a_RBR2	2	20	chr11	110096493	110096513	20	1	1	1	20	1	1	16	0.2	0.05	lnc_inter_chr10_9222_DBR1_Abca8a_RBR2
